Date,Open,High,Low,Close,Volume
27-04-2005,107.57,108.3,106.75,106.97,115500.0
28-04-2005,107.6,107.98,105.75,107.77,276250.0
29-04-2005,104.4,105.8,102.01,105.04,152250.0
02-05-2005,106.0,107.14,105.43,106.97,101500.0
03-05-2005,106.99,106.99,105.6,105.98,65750.0
04-05-2005,105.7,107.11,105.5,106.99,109000.0
05-05-2005,108.78,109.0,107.6,107.83,142500.0
06-05-2005,107.9,108.39,106.6,107.6,75000.0
09-05-2005,107.8,107.8,105.64,107.04,149000.0
10-05-2005,106.71,107.36,106.21,106.5,126250.0
11-05-2005,105.4,106.0,104.5,105.82,113500.0
12-05-2005,105.98,106.74,104.8,105.09,118250.0
13-05-2005,103.6,105.96,103.6,105.75,83250.0
16-05-2005,106.4,107.18,106.1,106.93,81750.0
17-05-2005,107.2,107.4,105.4,105.85,62500.0
18-05-2005,104.8,105.56,104.43,104.82,71750.0
19-05-2005,106.4,107.19,106.0,106.61,111250.0
20-05-2005,106.79,106.94,106.06,106.64,58500.0
23-05-2005,106.24,107.96,106.23,107.8,156750.0
24-05-2005,108.4,108.7,107.53,108.3,120750.0
25-05-2005,107.2,107.6,106.8,107.12,183250.0
26-05-2005,107.01,108.2,106.66,107.65,210750.0
27-05-2005,107.6,107.6,106.7,107.06,158750.0
30-05-2005,106.84,106.84,105.16,106.62,90750.0
31-05-2005,106.22,107.6,106.0,107.34,59500.0
01-06-2005,106.85,107.2,106.04,106.2,43750.0
02-06-2005,106.5,107.2,106.03,106.57,89500.0
03-06-2005,106.54,108.18,106.45,107.91,99000.0
04-06-2005,107.62,107.62,106.42,106.77,39500.0
06-06-2005,107.2,110.01,106.6,109.56,149000.0
07-06-2005,109.01,116.8,108.8,116.15,403250.0
08-06-2005,117.22,117.22,114.7,115.83,275500.0
09-06-2005,116.25,116.25,114.23,114.79,82000.0
10-06-2005,115.0,117.17,114.13,114.43,128250.0
13-06-2005,114.11,116.2,113.2,115.84,91750.0
14-06-2005,116.4,118.16,115.83,117.94,189000.0
15-06-2005,118.1,118.75,117.13,118.18,121500.0
16-06-2005,118.61,118.79,117.0,118.04,210250.0
17-06-2005,118.28,119.0,117.4,118.18,175500.0
20-06-2005,119.28,119.3,118.01,118.69,135250.0
21-06-2005,119.6,120.36,117.6,119.59,118500.0
22-06-2005,119.99,120.2,116.84,117.57,135250.0
23-06-2005,117.8,117.8,115.09,116.01,104500.0
24-06-2005,115.0,117.2,114.5,116.43,177500.0
27-06-2005,115.94,119.25,115.68,118.19,167250.0
28-06-2005,118.02,118.37,116.3,118.03,212000.0
29-06-2005,118.0,122.0,118.0,121.1,391750.0
30-06-2005,122.0,128.0,122.0,127.01,355500.0
01-07-2005,120.0,123.3,120.0,122.56,163750.0
04-07-2005,123.0,126.74,123.0,125.97,232250.0
05-07-2005,126.76,127.08,125.25,125.98,169000.0
06-07-2005,126.0,128.35,125.22,127.71,198250.0
07-07-2005,128.0,130.8,126.4,127.57,380750.0
08-07-2005,128.8,129.38,127.61,129.1,129750.0
11-07-2005,130.0,132.39,130.0,132.02,167750.0
12-07-2005,132.0,133.58,129.4,131.15,174750.0
13-07-2005,131.0,131.0,126.7,127.25,220750.0
14-07-2005,128.0,128.39,125.0,127.71,425750.0
15-07-2005,127.4,127.6,124.74,125.67,198500.0
18-07-2005,125.6,126.4,123.85,124.78,240750.0
19-07-2005,125.2,127.2,125.2,126.95,152000.0
20-07-2005,129.89,129.89,127.02,127.55,115750.0
21-07-2005,128.6,129.0,126.8,127.17,338000.0
22-07-2005,126.0,129.56,123.2,128.88,260250.0
25-07-2005,129.08,137.57,129.08,135.79,566500.0
26-07-2005,136.98,137.4,134.82,136.01,282000.0
27-07-2005,136.8,142.88,134.48,141.01,376000.0
01-08-2005,135.58,136.38,133.41,134.75,226250.0
02-08-2005,135.0,135.36,132.53,133.44,246250.0
03-08-2005,134.4,136.3,132.6,133.19,590000.0
04-08-2005,134.4,135.54,133.6,134.94,292250.0
05-08-2005,135.2,135.4,133.0,133.21,187250.0
08-08-2005,133.0,133.0,130.2,130.83,218500.0
09-08-2005,131.6,131.88,130.16,130.6,176250.0
10-08-2005,133.0,134.0,131.2,132.28,218250.0
11-08-2005,133.0,133.8,131.44,132.39,465750.0
12-08-2005,132.84,133.6,131.22,131.73,234000.0
16-08-2005,132.0,132.5,129.07,129.53,168000.0
17-08-2005,129.2,132.8,129.0,131.14,300250.0
18-08-2005,131.0,131.8,130.5,131.24,165250.0
19-08-2005,131.0,131.2,129.62,130.85,144750.0
22-08-2005,131.36,131.7,129.6,130.86,290000.0
23-08-2005,131.13,131.42,129.36,129.7,256750.0
24-08-2005,128.8,131.2,125.97,130.41,410000.0
25-08-2005,130.2,130.2,127.42,129.14,260000.0
26-08-2005,131.0,131.37,125.4,126.42,406500.0
29-08-2005,126.8,128.28,125.1,126.96,285750.0
30-08-2005,127.6,128.78,126.8,128.51,177250.0
31-08-2005,128.4,128.4,126.12,127.25,177250.0
01-09-2005,127.4,128.0,125.82,126.28,161500.0
02-09-2005,126.3,127.6,125.6,126.86,194500.0
05-09-2005,127.6,127.78,126.4,127.1,112250.0
06-09-2005,127.0,127.56,126.47,127.41,99250.0
08-09-2005,127.7,130.6,127.21,130.28,277250.0
09-09-2005,130.99,134.78,130.0,134.17,464000.0
12-09-2005,134.0,134.8,132.11,134.48,228250.0
13-09-2005,134.78,136.92,132.96,136.45,341000.0
14-09-2005,136.4,137.2,135.23,136.49,322750.0
15-09-2005,136.78,137.8,136.29,137.53,175250.0
