Date,Open,High,Low,Close,Volume
27-04-2005,79.6,79.6,75.85,76.53,3396250.0
28-04-2005,75.45,76.4,73.82,75.49,4238750.0
29-04-2005,73.4,74.64,68.34,69.13,3210000.0
02-05-2005,70.94,72.0,69.64,71.19,3022500.0
03-05-2005,72.0,72.74,71.6,71.9,2086250.0
04-05-2005,72.02,73.38,71.75,72.95,2040000.0
05-05-2005,74.96,75.66,73.6,74.52,3206250.0
06-05-2005,73.98,75.78,73.98,74.85,3102500.0
09-05-2005,75.0,75.68,74.51,75.47,2227500.0
10-05-2005,75.67,76.4,75.26,76.09,3382500.0
11-05-2005,76.02,76.02,74.64,75.64,2281250.0
12-05-2005,75.6,76.8,75.46,76.1,1813750.0
13-05-2005,75.58,77.2,75.42,76.69,1833750.0
16-05-2005,76.6,77.96,76.2,77.74,1557500.0
17-05-2005,78.2,78.4,77.1,77.66,2685000.0
18-05-2005,77.2,77.71,76.31,76.89,1576250.0
19-05-2005,79.0,79.95,76.99,77.51,2442500.0
20-05-2005,76.8,78.4,76.42,78.12,1446250.0
23-05-2005,78.4,79.72,77.8,79.52,2297500.0
24-05-2005,79.77,79.98,78.5,79.29,4102500.0
25-05-2005,78.98,79.48,72.0,79.22,2367500.0
26-05-2005,79.0,79.99,78.5,79.86,2818750.0
27-05-2005,78.2,78.78,76.8,77.17,1582500.0
30-05-2005,77.21,77.36,75.36,75.54,1177500.0
31-05-2005,76.0,76.39,75.4,76.09,1137500.0
01-06-2005,76.28,76.98,76.2,76.68,1273750.0
02-06-2005,77.18,77.51,75.65,76.03,1280000.0
03-06-2005,76.16,77.39,76.0,77.02,1250000.0
04-06-2005,77.2,77.8,76.61,77.14,778750.0
06-06-2005,77.38,78.5,77.02,77.36,1470000.0
07-06-2005,77.6,79.58,77.4,79.16,2797500.0
08-06-2005,79.6,81.49,79.6,81.17,3145000.0
09-06-2005,81.1,81.15,79.24,79.71,2127500.0
10-06-2005,80.8,80.88,79.01,79.28,1696250.0
13-06-2005,79.7,83.69,78.6,83.23,4818750.0
14-06-2005,83.6,85.5,83.2,85.21,4058750.0
