Date,Open,High,Low,Close,Volume
27-04-2005,276.0,279.95,267.3,269.92,10658500.0
28-04-2005,268.0,271.85,266.77,271.1,3971000.0
29-04-2005,270.8,270.8,260.92,262.13,3085000.0
02-05-2005,263.85,265.7,259.65,264.95,2729250.0
03-05-2005,265.0,268.67,264.0,267.27,2983500.0
04-05-2005,267.45,269.77,266.65,268.48,1877500.0
05-05-2005,269.88,270.75,267.13,268.02,2062250.0
06-05-2005,268.05,272.92,268.0,271.9,4097750.0
09-05-2005,272.0,274.8,270.27,273.98,2948000.0
10-05-2005,274.9,275.0,268.88,269.38,2332000.0
11-05-2005,268.0,271.0,267.77,269.08,2576750.0
12-05-2005,269.5,271.5,268.8,270.35,2427500.0
13-05-2005,269.25,269.95,267.9,269.13,1380250.0
16-05-2005,270.25,272.38,269.75,271.52,2167250.0
17-05-2005,272.0,272.4,263.27,263.98,3448000.0
18-05-2005,264.02,266.75,263.02,265.67,3357500.0
19-05-2005,267.25,268.25,261.58,262.35,3606500.0
20-05-2005,261.5,263.65,257.88,261.02,4806750.0
23-05-2005,262.42,266.27,262.08,265.77,3987750.0
24-05-2005,267.25,267.67,263.55,265.92,3635250.0
25-05-2005,265.05,267.25,263.3,265.63,3508000.0
26-05-2005,265.0,267.13,263.52,265.67,5589750.0
27-05-2005,266.52,272.0,266.27,268.02,4817000.0
30-05-2005,268.0,269.38,264.65,265.3,2335250.0
31-05-2005,266.0,271.15,264.08,269.83,5315500.0
01-06-2005,270.5,273.83,269.52,272.13,4396000.0
02-06-2005,272.48,272.95,265.63,266.38,3809250.0
03-06-2005,267.5,279.23,267.1,278.23,9030750.0
04-06-2005,278.95,282.7,276.8,278.9,4535750.0
06-06-2005,279.8,283.7,276.25,277.67,4806250.0
07-06-2005,278.0,279.0,274.58,276.38,3752500.0
08-06-2005,278.05,281.2,276.27,280.5,6064250.0
09-06-2005,281.35,282.73,279.65,280.35,3736500.0
10-06-2005,281.48,284.88,280.63,283.77,6040500.0
13-06-2005,284.05,285.65,280.25,284.95,3946250.0
14-06-2005,285.63,287.38,282.25,286.85,4259500.0
15-06-2005,287.0,288.35,284.73,287.17,3318500.0
16-06-2005,289.0,297.4,287.75,294.85,8063000.0
17-06-2005,295.73,300.5,291.4,299.27,8285250.0
20-06-2005,309.0,322.2,305.0,313.6,12258750.0
21-06-2005,312.5,322.6,310.02,321.55,8471250.0
22-06-2005,321.0,327.7,319.88,325.55,7465250.0
23-06-2005,326.0,326.5,322.77,324.77,3664500.0
24-06-2005,322.25,329.35,321.13,326.8,4469500.0
27-06-2005,324.45,338.7,324.05,325.6,7949250.0
28-06-2005,326.52,327.7,315.0,316.27,6560250.0
29-06-2005,317.5,323.45,316.65,321.75,5256250.0
30-06-2005,323.02,327.13,318.5,321.02,5112250.0
01-07-2005,323.95,325.0,320.85,322.67,2340500.0
04-07-2005,322.95,327.45,321.5,324.85,3369000.0
05-07-2005,324.0,326.1,319.08,320.55,3651500.0
06-07-2005,320.5,326.38,320.5,325.63,3078250.0
07-07-2005,324.5,324.5,307.27,309.42,6611000.0
08-07-2005,313.63,316.0,309.1,312.77,4858750.0
11-07-2005,314.5,318.95,313.13,318.17,3536750.0
12-07-2005,319.0,323.35,316.0,320.77,4711500.0
13-07-2005,321.6,321.75,316.52,317.3,2257250.0
14-07-2005,316.0,323.4,311.63,320.48,6164750.0
15-07-2005,322.4,336.45,322.2,334.48,8506250.0
18-07-2005,337.5,338.2,331.1,333.5,5368000.0
19-07-2005,334.5,337.5,332.63,334.38,3356250.0
20-07-2005,335.52,342.38,335.02,340.65,6014500.0
21-07-2005,341.95,344.3,335.63,340.0,6123250.0
22-07-2005,340.0,347.38,339.65,346.58,5372500.0
25-07-2005,347.2,349.25,343.8,345.58,4365000.0
26-07-2005,345.45,348.0,341.65,347.0,4281000.0
27-07-2005,347.45,353.5,346.08,351.05,5711000.0
01-08-2005,353.58,358.45,351.8,357.55,4164750.0
02-08-2005,358.92,376.83,358.75,374.88,9476000.0
03-08-2005,377.0,383.85,360.2,361.85,19402000.0
04-08-2005,366.83,375.0,363.5,369.15,10544750.0
05-08-2005,367.52,370.95,365.05,366.2,5214250.0
