Date,Open,High,Low,Close,Volume
27-04-2005,86.0,87.9,85.31,86.06,4213500.0
28-04-2005,86.4,86.42,84.82,85.44,3442500.0
29-04-2005,84.6,84.69,81.4,81.93,3171000.0
02-05-2005,82.0,83.67,81.25,83.37,3178500.0
03-05-2005,83.2,84.5,82.72,83.86,3089000.0
04-05-2005,83.7,84.48,82.6,83.46,4016500.0
05-05-2005,84.41,85.34,83.62,84.0,3823000.0
06-05-2005,84.4,85.16,83.0,84.78,4547000.0
09-05-2005,84.2,87.1,84.2,86.93,3305000.0
10-05-2005,86.8,86.8,85.3,85.68,3350500.0
11-05-2005,85.4,86.7,85.01,85.96,3371500.0
12-05-2005,86.0,87.08,86.0,86.7,2536500.0
13-05-2005,86.62,87.2,86.11,86.76,2520000.0
16-05-2005,86.98,89.87,86.86,89.66,4072000.0
17-05-2005,90.0,90.53,88.11,89.14,6530500.0
18-05-2005,87.8,88.14,86.66,87.47,5197500.0
19-05-2005,87.94,88.65,86.8,87.17,2720000.0
20-05-2005,86.9,87.08,85.81,86.52,2764000.0
23-05-2005,86.6,87.58,86.23,86.6,1926000.0
24-05-2005,86.94,88.93,86.8,88.7,3962500.0
25-05-2005,88.4,89.28,88.12,88.68,2711000.0
26-05-2005,88.22,90.4,88.06,90.15,2760000.0
27-05-2005,87.19,87.95,84.82,86.2,3029500.0
30-05-2005,86.2,86.73,84.15,84.46,3077500.0
31-05-2005,84.5,85.55,84.44,84.78,2218000.0
01-06-2005,84.82,86.2,84.6,85.41,3242500.0
02-06-2005,85.9,86.14,84.62,84.89,2002000.0
03-06-2005,84.9,85.56,84.23,85.31,1410500.0
04-06-2005,85.68,85.68,84.8,85.11,656000.0
06-06-2005,85.2,85.96,84.9,85.25,1629500.0
07-06-2005,85.2,85.49,84.64,85.05,1080000.0
08-06-2005,85.28,85.76,85.04,85.52,1422000.0
09-06-2005,85.0,86.2,84.84,85.06,2408000.0
10-06-2005,84.6,85.17,82.46,82.68,3727000.0
13-06-2005,82.71,83.1,81.9,82.52,2143000.0
14-06-2005,82.77,82.77,81.1,81.98,2073500.0
15-06-2005,82.15,82.85,82.0,82.28,1491500.0
16-06-2005,82.9,83.05,81.52,82.72,2305000.0
17-06-2005,82.76,82.86,81.46,81.81,1533000.0
20-06-2005,82.08,82.08,80.56,80.79,1799000.0
21-06-2005,80.83,82.09,80.8,81.5,1735000.0
22-06-2005,81.8,83.54,81.71,82.44,3663500.0
23-06-2005,82.88,85.42,82.6,85.11,4780500.0
24-06-2005,84.8,85.9,84.03,85.6,3074000.0
27-06-2005,85.3,87.7,84.81,85.84,4226500.0
28-06-2005,86.0,86.18,82.82,83.09,2639500.0
29-06-2005,83.17,85.72,82.85,85.36,2680000.0
30-06-2005,85.88,86.78,84.6,84.92,2242500.0
01-07-2005,85.0,86.56,85.0,86.0,1824000.0
04-07-2005,85.8,85.97,84.92,85.56,1391500.0
05-07-2005,85.8,88.58,85.23,88.08,5777500.0
06-07-2005,88.38,89.98,88.09,88.94,3635500.0
07-07-2005,89.62,89.62,86.25,86.84,3706500.0
08-07-2005,88.0,88.7,86.12,87.16,2216500.0
11-07-2005,87.6,90.4,87.6,90.2,3880500.0
12-07-2005,90.4,94.3,90.01,93.41,6275000.0
13-07-2005,93.43,93.99,91.79,92.09,2008500.0
14-07-2005,92.38,93.12,90.5,90.84,2162000.0
15-07-2005,91.2,93.48,90.6,93.17,2450000.0
18-07-2005,93.4,94.6,92.86,94.32,2249000.0
19-07-2005,94.2,95.99,93.2,95.76,3632500.0
20-07-2005,96.1,96.2,94.21,94.58,2533500.0
21-07-2005,94.98,95.25,91.91,92.54,2689500.0
22-07-2005,92.6,94.96,92.4,94.64,1680500.0
25-07-2005,94.78,95.56,93.72,94.85,1766000.0
26-07-2005,94.76,96.0,93.53,95.6,2195000.0
27-07-2005,95.99,97.36,95.45,96.52,1640000.0
01-08-2005,96.88,101.2,96.88,100.7,4777500.0
02-08-2005,101.0,105.2,100.8,104.5,6085000.0
03-08-2005,105.2,105.2,101.86,102.37,5769500.0
04-08-2005,102.2,103.58,100.59,101.15,3771500.0
05-08-2005,101.2,103.3,101.0,101.43,3817000.0
08-08-2005,101.79,101.8,95.85,96.4,4367000.0
09-08-2005,96.4,96.58,93.92,94.76,3873500.0
10-08-2005,94.9,97.15,94.7,96.91,3244000.0
11-08-2005,97.2,101.28,96.98,99.79,6768500.0
12-08-2005,100.0,101.0,98.63,99.98,4616500.0
16-08-2005,100.0,100.2,98.05,98.67,1627500.0
17-08-2005,98.0,100.47,97.27,99.39,2918500.0
18-08-2005,99.8,100.8,98.32,99.05,4055000.0
19-08-2005,99.54,99.98,98.26,98.57,2245500.0
22-08-2005,98.58,99.2,95.12,95.92,1451500.0
23-08-2005,96.0,97.09,95.19,95.68,2545500.0
24-08-2005,95.8,96.0,93.6,94.74,2509500.0
25-08-2005,94.99,95.1,92.72,93.53,3028500.0
26-08-2005,94.8,95.8,94.4,95.14,1793000.0
29-08-2005,94.4,94.42,91.76,93.14,1975500.0
30-08-2005,93.41,94.45,93.11,93.82,1464000.0
31-08-2005,92.6,93.77,92.4,92.99,1578000.0
01-09-2005,93.23,94.95,93.0,94.48,2123000.0
02-09-2005,95.3,99.46,95.0,98.26,6641000.0
05-09-2005,98.6,99.55,98.4,98.62,2252000.0
06-09-2005,98.4,99.33,97.36,98.84,2320000.0
08-09-2005,99.2,101.6,99.0,101.47,3934500.0
09-09-2005,102.0,102.8,101.3,102.16,3764000.0
12-09-2005,102.65,103.26,101.8,102.6,3073000.0
13-09-2005,102.6,104.36,102.6,103.61,3743000.0
14-09-2005,103.6,105.36,103.27,104.58,5184000.0
15-09-2005,104.8,105.06,103.71,104.41,2461500.0
16-09-2005,104.61,105.88,104.0,104.73,2851500.0
19-09-2005,105.02,106.88,103.24,105.94,3916000.0
20-09-2005,106.0,106.14,104.31,104.72,2844500.0
21-09-2005,104.96,104.97,100.41,103.2,3538500.0
22-09-2005,102.6,103.57,98.62,99.16,3458000.0
23-09-2005,100.04,103.39,98.35,102.14,3652500.0
26-09-2005,102.9,104.41,102.04,104.11,2236500.0
27-09-2005,104.78,109.35,104.42,108.98,6322500.0
28-09-2005,108.42,108.42,106.4,107.76,3657000.0
29-09-2005,107.88,109.16,106.27,107.15,2003500.0
30-09-2005,107.4,108.32,104.12,107.22,4239000.0
03-10-2005,107.6,111.59,107.6,111.35,5170000.0
04-10-2005,111.4,113.78,111.12,113.31,4913000.0
05-10-2005,113.2,114.96,111.14,113.9,5531000.0
06-10-2005,113.06,113.2,110.44,110.73,5325000.0
07-10-2005,109.65,111.94,108.12,109.47,6247000.0
10-10-2005,109.4,109.8,107.44,107.93,2349500.0
11-10-2005,107.38,111.5,106.0,111.18,4786500.0
13-10-2005,110.04,112.18,107.6,108.18,5682000.0
14-10-2005,108.0,108.96,106.51,107.23,4732500.0
17-10-2005,107.0,108.56,104.1,105.88,4883500.0
